semester_code,course_code,ga,assessment_title,status,rubric_url,notes
7620,FINM7108,GA4,A4 Reflection,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/FINM7108/FINM7108-A4%20Reflection%20Rubric.pdf,
7660,FINM7402,GA1,A3 Case Study Assignment,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/FINM7402/2%20FINM7402%20Marking%20Rubric.pdf,
7660,FINM7407,GA5,A2 Case Study Assignment,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/FINM7407/FINM7407_S2%202026_A2_AoL%20Rubric.pdf,
7620,FINM7409,GA2,A2 Investment Proposal (30%),Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/FINM7409/Rubric%20-%20Investment%20Proposal%20Report.pdf,
7660,MGTS7603,GA3,A2: Current Issues in SHRM in Organisations,Partial mapping,,
7620,FINM7805,GA2,A2: Team Project,Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/FINM7805/FINM7805_A2_Rubric_GA2.docx,
7660,HOSP2006,GA2,A1 Simulation Report and Reflection,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/HOSP2006/Ind_Reflection_HOSP2006.pdf,
7620,MGTS7618,GA3,A1: Wise Leadership Social Entrepreneurship Initiative,Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS7618/MGTS7618_A1_Rubric_GA3.docx,
7660,HOSP3000,GA5,A1 Board Discussion of a Casino Development,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/HOSP3000/HOSP3000%20A1_TaskDescriptionRubric.pdf,
7660,HOSP3005,GA6,Reflective Vlog,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/HOSP3005/HOSP3005%20Reflective%20YouTube%20Vlog%20Rubric.docx,
7620,HOSP7050,GA5,Emerging Trends and Future F&B Experience Design: Reflections,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/HOSP7050/HOSP7050_AoL_gradebook_rubric_note_15Sep2026.md,
7660,HOSP7051,GA1,Industry Forum,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/HOSP7051/HOSP7051_AoL_gradebook_rubric_note_15Sep2026.md,
7660,HOSP7053,GA6,A2: Leadership Analysis and Self-Evaluation (40%),Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/HOSP7053/HOSP7053_A2_Rubric_GA6.docx,
7660,TOUR7050,GA3,A3: Special Interest Tour Design (25%),Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/TOUR7050/TOUR7050_A3_Rubric_GA3.docx,
7660,IBUS2301,GA5,A1 Company Pitches,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/IBUS2301/Rubric%20(Company%20Pitches).docx,
7660,IBUS3310,GA2,Team Case Study Presentation (in tutorial),Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/IBUS3310/IBUS3310%20Team%20Presentation%20Rubric.pdf,
7660,IBUS4301,GA1,A1 Discussion,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/IBUS4301/IBUS4301%20Discussion%20Outline%20and%20Rubric.pdf,
7620,MGTS3604,GA3,A1: Portfolio: Case Analysis and Executive Summaries (30%),Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS3604/MGTS3604_A1_Rubric_GA3%20%20S1%2026.pdf,
7660,IBUS7302,GA1,A2 Topic Analysis Assignment,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/IBUS7302/IBUS7302_AoL_gradebook_rubric_note_15Sep2026.md,
7660,IBUS7312,GA2,A3 Business in An Asian Region: Research Essay (30%),Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/IBUS7312/IBUS7312%20Rubric%20-%20A3.pdf,
7660,LAWS1100,,,N/A,,
7660,MGTS1301,GA4,Final Exam,Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS1301/MGTS1301_FinalExam_Rubric_GA4_2026S2.docx,
7660,MGTS1301,GA6,A2 Structured Analysis of Everest Simulation,Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS1301/MGTS1301_Everest%20Simulation_Rubric_2026S2_130826.docx,
7660,MGTS1601,GA5,A2 Team Workshop,Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS1601/MGTS1601_A2_Rubric_GA5.docx,
7700,MGTS2603,GA1,A2,Identified,,
7660,MGTS2604,GA1,A1: Research Essay,Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS2604/MGTS2604_Assessment%20One%20Research%20Essay%20Marking%20Rubric.pdf,
7620,MGTS2604,GA5,A2: Career Plan Report,Identified,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS2604/Assessment%202%20-%20Career%20Plan%20Report%20Marking%20Rubric%20(GA5).pdf,
7660,MGTS2606,GA5,A3: Textographic Presentation,Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS2606/MGTS2606_A3_Rubric_GA5.pdf,
7620,EIBS7301,GA3,A3 Idea Management Strategy,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/EIBS7301/EIBS7301%20A3%20Hackathon%20rubric.pdf,
7660,MGTS2607,GA4,"A2: Indigenous Reflection (10%), in-class and secure",Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS2607/MGTS2607_A2_Rubric_GA4.docx,
7660,MGTS2607,,,TBD,,
7620,FINM7102,GA3,A1 Written Paper (30%),Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/FINM7102/AoL%20GA3%20FINM7102-A1%20Rubric%20FINAL.pdf,
7660,MGTS2609,GA2,A1,Identified,,
7660,MGTS2609,GA1,A2,Identified,,
7620,MGTS3601,GA6,A2: Group Report,Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS3601/MGTS3601%20A2%20Group%20Report%20(GA6).docx,
7620,MGTS3601,GA5,A1: Organisational Change Consulting Presentation,Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS3601/MGTS3601%20A1%20(GA5).docx,
7660,MGTS3602,GA6,A3: Reflective Exam,Identified,,
7660,MGTS3603,,,TBD,,
7620,MGTS3604,GA6,A2: report on Training Program and Evaluation,Partial mapping,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS3604/MGTS3604_A2_Rubric_(GA6).pdf,
7660,MGTS3605,,,TBD,,
7620,MGTS3607,GA2,A2: Report on Evaluation of a Performance Management System,Partial mapping,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS3607/MGTS3607_A2_Rubric_(GA2).pdf,
